,model,option,year,odometer,fuel,price,car
155,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,41245,가솔린,3130,grandure
156,그랜저 HG,LPG HG300 이그제큐티브,12/10식,69452,LPG(일반인 구입),1330,grandure
157,그랜저 TG,LPI Q270 모범형,06/01식,211732,LPG(일반인 구입),270,grandure
158,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/11식(18년형),75026,LPG(일반인 구입),2530,grandure
159,그랜저 IG,3.0 프리미엄,19/04식,176545,가솔린,1699,grandure
160,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,50653,가솔린,2890,grandure
161,그랜저 IG,3.0 모던 베이직 (렌터카),17/06식(18년형),41452,가솔린,1920,grandure
162,그랜저 IG,3.0 LPi 모던 (렌터카),17/03식(18년형),94745,LPG(일반인 구입),1730,grandure
163,그랜저 IG 하이브리드,익스클루시브 스페셜,19/05식,27112,가솔린+전기,3490,grandure
164,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,16/12식(17년형),70803,LPG(일반인 구입),2300,grandure
165,더 뉴 그랜저 IG,3.3 익스클루시브,20/01식,30381,가솔린,3450,grandure
166,그랜저 TG,Q270 디럭스 기본형,05/10식(06년형),109600,가솔린,239,grandure
167,그랜저 HG,HG240 모던,13/01식,77406,가솔린,1360,grandure
168,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,100997,가솔린+전기,2590,grandure
169,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,110817,가솔린,1960,grandure
170,그랜저 HG,HG240 럭셔리,12/11식,198163,가솔린,680,grandure
171,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/04식,144912,가솔린,290,grandure
172,그랜저 HG,HG240 모던 컬렉션,17/02식,44762,가솔린,1450,grandure
173,그랜저 HG,HG330 셀러브리티,14/04식,70847,가솔린,1389,grandure
174,그랜저 IG,2.4 프리미엄,16/11식(17년형),110000,가솔린,1690,grandure
175,그랜저 IG,2.4 프리미엄,18/04식,166335,가솔린,1550,grandure
176,더 뉴 그랜저 IG,3.0 LPi (렌터카용) 모던,20/08식,35629,LPG(일반인 구입),2590,grandure
177,그랜저 TG,LPI Q270 개인형,07/07식(08년형),203642,LPG(일반인 구입),280,grandure
178,뉴 그랜저 XG,R20 기본형,03/08식(04년형),149296,가솔린,219,grandure
179,더 뉴 그랜저 IG 하이브리드,프리미엄 초이스,19/12식(20년형),47583,가솔린+전기,3490,grandure
180,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),24815,가솔린+전기,4020,grandure
181,그랜저 IG,3.0 LPi 모던 (렌터카),19/01식,74788,LPG(일반인 구입),1990,grandure
182,그랜저 IG,2.4 모던,17/12식(18년형),108692,가솔린,1600,grandure
183,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/03식,19894,가솔린,3140,grandure
184,그랜저 IG,2.4 프리미엄,17/09식(18년형),39381,가솔린,2400,grandure
185,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,23967,가솔린,3290,grandure
186,그랜저 IG,3.0 LPI 택시형 모범형,18/01식,131788,LPG(일반인 구입),1450,grandure
187,더 뉴 그랜저 IG,3.0 LPi 프리미엄,21/01식,14027,LPG(일반인 구입),3090,grandure
188,그랜저 IG,3.0 익스클루시브,17/02식,128000,가솔린,1850,grandure
189,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,50612,가솔린+전기,2899,grandure
190,그랜저 TG,LPI Q270 모범형 팩2,07/09식(08년형),152700,LPG(일반인 구입),390,grandure
192,더 뉴 그랜저 IG,2.5 익스클루시브,21/05식,7046,가솔린,3630,grandure
193,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),75378,가솔린,1590,grandure
194,그랜저 HG,HG240 럭셔리,12/03식,126367,가솔린,1020,grandure
195,그랜저 HG,HG220 디젤 모던,15/06식(16년형),107140,디젤,1299,grandure
196,그랜저 IG,3.0 LPI 모던,19/01식,83000,LPG(일반인 구입),1919,grandure
197,그랜저 IG,3.0 익스클루시브 스페셜,19/04식,90629,가솔린,2469,grandure
198,더 뉴 그랜저 IG,2.5 캘리그래피,20/06식,70605,가솔린,3490,grandure
199,더 뉴 그랜저 IG,2.5 스페셜,20/04식,70874,가솔린,3333,grandure
200,그랜저 HG,HG300 프리미엄,14/11식(15년형),112000,가솔린,1050,grandure
201,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),11369,가솔린,2390,grandure
202,그랜저 IG,2.4 프리미엄,18/07식(19년형),56175,가솔린,2450,grandure
203,그랜저 IG,2.4 모던,18/04식,20970,가솔린,2290,grandure
204,그랜저 IG,2.2 디젤 프리미엄,18/02식,87107,디젤,2150,grandure
205,그랜저 HG,HG300 프라임,11/01식,157356,가솔린,699,grandure
206,그랜저 IG 하이브리드,익스클루시브 스페셜,19/03식,72004,가솔린+전기,3090,grandure
207,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/05식(22년형),7055,가솔린+전기,4679,grandure
208,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,137705,가솔린,1990,grandure
209,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),18233,가솔린,3080,grandure
210,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/08식(22년형),21721,가솔린+전기,4490,grandure
211,그랜저 뉴 럭셔리,L330 탑 기본형,08/06식(09년형),125202,가솔린,399,grandure
212,그랜저 HG,HG240 모던,13/01식,83779,가솔린,1148,grandure
213,그랜저 HG,HG240 모던,16/03식,131663,가솔린,1090,grandure
214,그랜저 IG,3.0 익스클루시브,17/07식(18년형),108680,가솔린,1980,grandure
215,그랜저 IG,2.4 프리미엄,17/09식(18년형),39381,가솔린,2400,grandure
216,그랜저 IG,3.0 익스클루시브 스페셜,17/07식(18년형),56446,가솔린,2330,grandure
217,그랜저 HG,HG300 익스클루시브,14/01식,103424,가솔린,1230,grandure
218,그랜저 IG,2.4 모던,17/12식(18년형),108692,가솔린,1600,grandure
219,그랜저 HG,HG240 모던,15/06식(16년형),101457,가솔린,1320,grandure
220,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),24815,가솔린+전기,4020,grandure
221,그랜저 HG,HG220 디젤 모던,15/06식(16년형),179485,디젤,899,grandure
222,더 뉴 그랜저 IG 하이브리드,프리미엄 초이스,19/12식(20년형),47583,가솔린+전기,3490,grandure
