,model,option,year,odometer,fuel,price,car
396,아반떼 AD,1.6 e-VGT 스타일,16/02식,80726,디젤,1000,avante
397,아반떼 HD,1.6 VVT E16 밸류,09/09식(10년형),15416,가솔린,499,avante
398,아반떼 하이브리드,HDeIII 기본형,12/12식(13년형),94882,LPG+전기,530,avante
399,아반떼 AD,1.6 e-VGT 스마트,15/12식(16년형),136402,디젤,750,avante
400,아반떼 AD,1.6 GDI 밸류 플러스,18/03식,114573,가솔린,1030,avante
401,아반떼 AD,1.6 e-VGT 스마트,16/09식(17년형),86451,디젤,930,avante
402,아반떼 AD,1.6 e-VGT 스타일,16/01식,142085,디젤,850,avante
403,아반떼 MD,LPI M16 럭셔리,12/07식,189769,LPG(일반인 구입),580,avante
404,더 뉴 아반떼 AD,1.6 디젤 스마트,19/01식,81508,디젤,1400,avante
405,아반떼 AD,1.6 GDI 밸류 플러스,17/12식(18년형),39402,가솔린,1440,avante
406,아반떼 AD,1.6 GDI 모던 스페셜,15/11식(16년형),73584,가솔린,1380,avante
407,아반떼 AD,1.6 e-VGT 스타일,16/02식,80726,디젤,1000,avante
408,아반떼 HD,1.6 VVT E16 밸류,09/09식(10년형),15416,가솔린,499,avante
409,아반떼 하이브리드,HDeIII 기본형,12/12식(13년형),94882,LPG+전기,530,avante
410,아반떼 AD,1.6 e-VGT 스마트,15/12식(16년형),136402,디젤,750,avante
411,아반떼 AD,1.6 GDI 밸류 플러스,18/03식,114573,가솔린,1030,avante
412,아반떼 AD,1.6 터보 스포츠,17/12식(18년형),49215,가솔린,1370,avante
413,더 뉴 아반떼 AD,1.6 스마트,19/01식,102363,가솔린,1280,avante
414,아반떼 AD,1.6 GDI 밸류 플러스,16/11식(17년형),76956,가솔린,1170,avante
415,아반떼 AD,1.6 GDI 스마트,16/04식,78921,가솔린,1170,avante
416,아반떼 AD,1.6 GDI 스타일,16/09식(17년형),91747,가솔린,1000,avante
417,아반떼 AD,1.6 GDI 밸류 플러스,17/08식(18년형),97374,가솔린,1200,avante
418,아반떼 AD,1.6 GDI 밸류 플러스,17/05식(18년형),77283,가솔린,1299,avante
419,아반떼 AD,1.6 GDI 밸류 플러스,17/08식(18년형),17404,가솔린,1470,avante
420,아반떼 AD,1.6 GDI 밸류 플러스,17/10식(18년형),81186,가솔린,1090,avante
421,더 뉴 아반떼,1.6 GDi 모던 기본형,13/09식(14년형),156439,가솔린,699,avante
423,아반떼 MD,M16 GDI 스마트,12/10식(13년형),91830,가솔린,690,avante
424,아반떼 AD,1.6 GDI 밸류 플러스,17/08식,44210,가솔린,1490,avante
425,아반떼 AD,1.6 e-VGT 스마트,16/04식,125340,디젤,990,avante
426,더 뉴 아반떼,1.6 VGT 모던 기본형,14/02식,188535,디젤,695,avante
427,아반떼 AD,1.6 e-VGT 스마트,16/09식(17년형),86451,디젤,930,avante
428,아반떼 AD,1.6 GDI 스마트,16/03식,77397,가솔린,1295,avante
429,아반떼 AD,1.6 LPI 스타일(렌터카),17/01식,73600,LPG(일반인 구입),860,avante
430,더 뉴 아반떼 AD,1.6 디젤 스마트,19/01식,81508,디젤,1400,avante
431,아반떼 AD,1.6 GDI 밸류 플러스,16/12식(17년형),74463,가솔린,1240,avante
432,아반떼 (CN7),1.6 터보 N Line 스포츠,21/10식,20061,가솔린,2270,avante
433,아반떼 AD,1.6 GDI 밸류 플러스,17/05식,35476,가솔린,1520,avante
434,아반떼 MD,M16 GDI 프리미어,10/10식(11년형),91173,가솔린,790,avante
435,아반떼 AD,1.6 GDI 밸류 플러스,18/07식,47556,가솔린,1350,avante
436,아반떼 AD,1.6 GDI 모던,16/07식(17년형),27745,가솔린,1450,avante
437,아반떼 AD,1.6 GDI 밸류 플러스,17/08식(18년형),17404,가솔린,1470,avante
438,아반떼 MD,M16 GDI 모던,13/08식(14년형),96358,가솔린,790,avante
439,아반떼 AD,1.6 터보 스포츠,17/12식(18년형),49215,가솔린,1370,avante
440,아반떼 MD,M16 GDI 프리미엄,12/12식(13년형),78110,가솔린,890,avante
441,아반떼 MD,M16 GDI 모던,12/09식(13년형),138265,가솔린,650,avante
442,아반떼 HD,1.6 VVT S16 럭셔리,06/09식(07년형),84240,가솔린,350,avante
443,아반떼 AD,1.6 GDI 밸류 플러스,17/08식,44210,가솔린,1490,avante
444,아반떼 AD,1.6 GDI 밸류 플러스,16/10식(17년형),82824,가솔린,1249,avante
445,아반떼 AD,1.6 터보 스포츠,18/02식,100685,가솔린,1250,avante
446,아반떼 MD,M16 GDI 에비뉴,13/03식,143193,가솔린,630,avante
447,더 뉴 아반떼 AD,1.6 스마트,19/04식,27273,가솔린,1800,avante
448,아반떼 MD,M16 GDI 럭셔리,10/11식(11년형),142627,가솔린,550,avante
449,아반떼 AD,1.6 GDI 밸류 플러스,18/03식,114573,가솔린,1030,avante
450,아반떼 MD,M16 GDI 럭셔리,11/12식(12년형),76607,가솔린,739,avante
451,아반떼 MD,M16 GDI 프리미엄,12/12식(13년형),78110,가솔린,890,avante
452,아반떼 MD,M16 GDI 모던,12/09식(13년형),138265,가솔린,650,avante
453,아반떼 HD,1.6 VVT S16 럭셔리,06/09식(07년형),84240,가솔린,350,avante
454,아반떼 AD,1.6 GDI 밸류 플러스,17/08식,44210,가솔린,1490,avante
455,아반떼 AD,1.6 GDI 밸류 플러스,16/10식(17년형),82824,가솔린,1249,avante
456,아반떼 AD,1.6 터보 스포츠,18/02식,100685,가솔린,1250,avante
457,아반떼 MD,M16 GDI 에비뉴,13/03식,143193,가솔린,630,avante
458,더 뉴 아반떼 AD,1.6 스마트,19/04식,27273,가솔린,1800,avante
459,아반떼 MD,M16 GDI 럭셔리,10/11식(11년형),142627,가솔린,550,avante
460,아반떼 AD,1.6 GDI 밸류 플러스,18/03식,114573,가솔린,1030,avante
461,아반떼 MD,M16 GDI 럭셔리,11/12식(12년형),76607,가솔린,739,avante
462,아반떼 AD,1.6 GDI 밸류 플러스,18/02식,29900,가솔린,1489,avante
463,아반떼 MD,M16 GDI 럭셔리,11/05식(12년형),144571,가솔린,620,avante
