,model,option,year,odometer,fuel,price,car
3026,쏘나타 (DN8),2.0 LPG(렌터카용) 스마트,19/05식(20년형),53717,LPG(일반인 구입),2030,sonata
3027,쏘나타 뉴 라이즈,LPI 스타일,18/07식(19년형),90816,LPG(일반인 구입),1350,sonata
3028,LF 쏘나타,LPI 프리미엄,16/10식(17년형),95930,LPG(일반인 구입),1350,sonata
3029,LF 쏘나타,2.0 스마트,15/12식(16년형),69610,가솔린,1430,sonata
3030,쏘나타 하이브리드 (DN8),프리미엄 패밀리,19/10식(20년형),29228,가솔린+전기,2990,sonata
3031,LF 쏘나타,LPI 프리미엄,16/10식(17년형),95930,LPG(일반인 구입),1350,sonata
3032,쏘나타 뉴 라이즈,2.0 스마트,17/06식(18년형),101761,가솔린,1280,sonata
3033,YF 쏘나타,Y20 프리미어,10/01식,157414,가솔린,490,sonata
3034,쏘나타 (DN8),2.0 LPG(장애인용) 인스퍼레이션,19/05식(20년형),38000,LPG(일반인 구입),2690,sonata
3035,YF 쏘나타,Y20 프리미어 최고급형,09/09식(10년형),179000,가솔린,450,sonata
3036,LF 쏘나타,LPI 스마트,17/04식,71000,LPG(일반인 구입),1070,sonata
3037,NF 쏘나타 트랜스폼,LPG N20 럭셔리,09/04식,37839,LPG(일반인 구입),370,sonata
3038,YF 쏘나타,Y20 프라임 블랙,11/03식,121000,가솔린,640,sonata
3039,LF 쏘나타,2.4 익스클루시브,14/06식(15년형),99981,가솔린,999,sonata
3040,NF 쏘나타 트랜스폼,N20 디럭스,08/03식,163000,가솔린,340,sonata
3041,YF 쏘나타,Y20 프리미어 최고급형,10/05식,153263,가솔린,450,sonata
3042,쏘나타 하이브리드 (DN8),인스퍼레이션,19/10식(20년형),42667,가솔린+전기,3290,sonata
3043,쏘나타 뉴 라이즈,2.0 모던,17/04식(18년형),82225,가솔린,1640,sonata
3044,쏘나타 뉴 라이즈,LPI 프리미엄,18/02식,99249,LPG(일반인 구입),1460,sonata
3045,쏘나타 더 브릴리언트,CVVL 스타일,14/01식,163000,가솔린,435,sonata
3046,YF 쏘나타,Y20 프리미어 고급형,10/05식,113000,가솔린,380,sonata
3047,LF 쏘나타,2.0 스타일 스페셜,14/08식(15년형),84900,가솔린,799,sonata
3048,YF 쏘나타,Y20 프라임 고급형,10/05식,144000,가솔린,355,sonata
3049,쏘나타 뉴 라이즈,2.0 스마트,18/04식,60900,가솔린,1750,sonata
3050,쏘나타 하이브리드 (DN8),인스퍼레이션,19/10식(20년형),42667,가솔린+전기,3290,sonata
3051,쏘나타 (DN8),1.6 터보 프리미엄 플러스,21/05식(22년형),4110,가솔린,2670,sonata
3052,YF 쏘나타,Y20 프라임 최고급형,10/03식,148825,가솔린,570,sonata
3053,쏘나타 뉴 라이즈,2.0 스마트 초이스,18/04식(19년형),14384,가솔린,1990,sonata
3054,쏘나타 뉴 라이즈,1.6 터보 프리미엄,17/06식(18년형),58028,가솔린,1950,sonata
3055,쏘나타 뉴 라이즈,1.6 터보 프리미엄,17/03식(18년형),75794,가솔린,2190,sonata
3056,쏘나타 뉴 라이즈,2.0 모던,19/01식,53726,가솔린,1959,sonata
3057,YF 쏘나타,F20 터보 GDI 최고급형,12/03식,94849,가솔린,630,sonata
3058,쏘나타 뉴 라이즈,1.6 터보 프리미엄,17/06식(18년형),58028,가솔린,1950,sonata
3059,쏘나타 뉴 라이즈,1.6 터보 프리미엄,17/03식(18년형),75794,가솔린,2190,sonata
3060,쏘나타 (DN8),2.0 LPG(렌터카용) 스마트,19/04식(20년형),61423,LPG(일반인 구입),2020,sonata
3061,쏘나타 뉴 라이즈,LPI 스타일,18/03식,164024,LPG(일반인 구입),1090,sonata
3062,LF 쏘나타,2.0 케어플러스,17/04식,69442,가솔린,1199,sonata
3063,NF 쏘나타 트랜스폼,N20 프리미어 블랙 고급형,08/04식,81218,가솔린,420,sonata
3064,LF 쏘나타,LPI 스마트,15/01식,96400,LPG(일반인 구입),980,sonata
3065,NF 쏘나타,N20 럭셔리 기본형,07/01식,89179,가솔린,330,sonata
3066,YF 쏘나타,Y20 프리미어 고급형,09/09식(10년형),155953,가솔린,400,sonata
