,model,option,year,odometer,fuel,price,car
1997,싼타페 DM,디젤(e-VGT) 2.2 4WD 익스클루시브,14/02식,121146,디젤,1530,santafe
1998,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,13/04식,132218,디젤,1380,santafe
1999,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/09식(19년형),75251,디젤,2759,santafe
2000,더 뉴 싼타페,디젤 2.2 2WD 캘리그래피,20/07식(21년형),23138,디젤,3989,santafe
2001,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,11/09식(12년형),177108,디젤,730,santafe
2002,싼타페 TM,디젤 2.2 2WD 프레스티지,18/12식(19년형),55487,디젤,2685,santafe
2003,싼타페 DM,디젤(e-VGT) 2.0 4WD 프리미엄,14/02식,138850,디젤,1350,santafe
2004,싼타페 TM,디젤 2.0 4WD 익스클루시브 스페셜,18/12식(19년형),36866,디젤,2850,santafe
2005,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브,15/11식(16년형),131672,디젤,1590,santafe
2006,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/08식(19년형),82628,디젤,2590,santafe
2007,싼타페 더 프라임,디젤 2.0 2WD 모던,15/10식(16년형),111434,디젤,1540,santafe
2008,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,14/01식,110524,디젤,1450,santafe
2009,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,15/12식(16년형),97449,디젤,1720,santafe
2010,싼타페 더 프라임,디젤 2.0 2WD 밸류 플러스,17/05식(18년형),27597,디젤,2230,santafe
2011,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,12/05식,132698,디젤,860,santafe
2012,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,14/02식,111076,디젤,1530,santafe
2013,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,13/10식(14년형),102564,디젤,1499,santafe
2014,싼타페 TM,디젤 2.2 2WD 프레스티지,18/05식(19년형),50000,디젤,2780,santafe
2015,싼타페 CM,2WD(2.0 e-VGT) SLX 프리미엄,10/03식,173036,디젤,770,santafe
2016,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,18/05식,107974,디젤,1799,santafe
